2011-08-31 22:31:12 Debug: Notice (8): Undefined property: CakeErrorController::$Session in [D:\xampplite\htdocs\sal\app\app_controller.php, line 214]
2011-08-31 22:31:46 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 22:40:34 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 22:40:41 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 22:42:13 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 23:04:31 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 23:05:34 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 23:12:53 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 23:13:51 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 23:15:05 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 23:16:49 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 23:20:14 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 23:20:21 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-08-31 23:20:30 Debug: Notice (8): Undefined property: View::$Session in [D:\xampplite\htdocs\sal\app\views\layouts\default.ctp, line 43]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 6]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 11]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 16]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 21]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 26]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 31]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 36]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 41]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 46]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 51]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 56]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 61]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 66]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 71]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 76]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 81]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 86]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 91]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 99]
2011-09-01 14:48:19 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 100]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 6]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 11]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 16]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 21]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 26]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 31]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 36]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 41]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 46]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 51]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 56]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 61]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 66]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 71]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 76]
2011-09-01 14:49:30 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 81]
2011-09-01 14:49:31 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 86]
2011-09-01 14:49:31 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 91]
2011-09-01 14:49:31 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 99]
2011-09-01 14:49:31 Debug: Notice (8): Undefined variable: licitacao in [D:\xampplite\htdocs\sal\app\views\licitacoes\view.ctp, line 100]
2011-09-01 20:10:55 Debug: Notice (8): Undefined property: CakeErrorController::$Session in [D:\xampp\htdocs\sal\app\app_controller.php, line 204]
2011-09-01 20:14:57 Debug: Notice (8): Undefined property: CakeErrorController::$Session in [D:\xampp\htdocs\sal\app\app_controller.php, line 204]
2011-09-01 20:15:16 Debug: Notice (8): Undefined property: UsuariosController::$Session in [D:\xampp\htdocs\sal\app\app_controller.php, line 204]
2011-09-01 20:15:16 Debug: Notice (8): Undefined property: CakeErrorController::$Session in [D:\xampp\htdocs\sal\app\app_controller.php, line 204]
2011-09-01 20:16:01 Debug: Notice (8): Undefined property: UsuariosController::$Session in [D:\xampp\htdocs\sal\app\app_controller.php, line 204]
2011-09-01 20:16:30 Debug: Notice (8): Undefined property: UsuariosController::$Session in [D:\xampp\htdocs\sal\app\app_controller.php, line 204]
2011-09-01 20:16:48 Debug: Notice (8): Undefined property: UsuariosController::$Session in [D:\xampp\htdocs\sal\app\app_controller.php, line 204]
2011-09-01 20:34:25 Debug: Notice (8): Undefined property: UsuariosController::$Session in [D:\xampp\htdocs\sal\app\app_controller.php, line 206]
2011-09-04 20:30:01 Debug: Notice (8): Undefined variable: eventos in [D:\xampp\htdocs\sal\app\views\licitacoes\index.ctp, line 80]
2011-09-04 21:12:18 Debug: Notice (8): Undefined variable: empresasLicitacoes in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 22]
2011-09-04 21:13:27 Debug: Notice (8): Undefined variable: empresasLicitacoes in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 22]
2011-09-04 21:13:52 Debug: Notice (8): Undefined variable: empresasLicitacoes in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 22]
2011-09-04 21:14:35 Debug: Notice (8): Undefined variable: empresasLicitacoes in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 22]
2011-09-04 22:24:41 Debug: Notice (8): Undefined variable: empresasLicitacoes in [D:\xampp\htdocs\sal\app\views\empresas_licitacoes\index.ctp, line 22]
2011-09-05 15:53:59 Debug: Notice (8): Undefined variable: menuSal in [D:\xampp\htdocs\sal\app\views\licitacoes\index.ctp, line 13]
2011-09-05 16:13:25 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\app_controller.php, line 60]
2011-09-05 16:13:41 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\app_controller.php, line 60]
